Code,Name,Group,MainGroupCode,MainGroupDescriptionSe,MainGroupDescriptionEn,GroupCode,GroupCodeDescriptionSe,GroupCodeDescriptionEn,CountyCode,CountyName,HealthcareRegionName,Ald0_5,Ald6_9,Ald10_15,Ald16_19,Ald20_24,Ald25_29,Ald30_34,Ald35_39,Ald40_44,Ald45_49,Ald50_54,Ald55_59,Ald60_64,Ald65_69,Ald70_74,Ald75_79,Ald80_w,Pop_sum,lat,long,Age_gp1,Age_gp2,Age_gp3
821,Högsby,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,08,Kalmar län,Region Kalmar län,397,310,438,288,289,283,317,308,305,365,388,414,447,450,389,298,401,6087,15.93447419,57.13429868,0.673895186,0.260226713,0.065878101
1266,Hörby,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,12,Skåne län,Region Skåne,1127,721,1054,657,788,941,972,875,941,997,1071,1017,980,977,938,622,944,15622,13.73061409,55.83734187,0.714441173,0.225131225,0.060427602
1267,Höör,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,12,Skåne län,Region Skåne,1193,913,1251,770,739,854,922,1010,1096,1120,1266,1016,1011,982,925,711,837,16616,13.51406215,55.94989886,0.731222918,0.218403948,0.050373134
2510,Jokkmokk,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,25,Norrbottens län,Region Norrbotten,289,173,267,197,261,304,252,257,213,297,367,364,379,398,352,269,357,4996,18.64868584,66.89785716,0.648718975,0.279823859,0.071457166
123,Järfälla,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,01,Stockholms län,Region Stockholm,6231,4120,6006,3709,4455,5647,5606,5560,5515,5297,5080,4253,3766,3302,3654,2726,3407,78334,17.81862466,59.43381861,0.784831618,0.171675135,0.043493247
680,Jönköping,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,06,Jönköpings län,Region Jönköpings län,10027,6985,9553,6084,10272,11376,9529,8537,8393,8544,9005,7563,6880,6724,7124,5144,7359,139099,14.21644282,57.81748474,0.761098211,0.185997024,0.052904766
2514,Kalix,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,25,Norrbottens län,Region Norrbotten,852,588,999,683,743,901,803,694,790,1012,1171,1095,1170,1156,1217,964,1210,16048,23.11890097,65.77098059,0.643756231,0.280844965,0.075398804
880,Kalmar,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,08,Kalmar län,Region Kalmar län,4752,3280,4453,2947,4735,5654,4584,4052,4072,4238,4520,3788,3720,3700,3735,2536,3686,68452,16.19541894,56.67831655,0.746143283,0.200008765,0.053847952
1446,Karlsborg,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,14,Västra Götalands län,Västra Götalandsregionen,404,257,448,263,300,379,388,326,378,386,476,422,428,534,630,423,496,6938,14.50326151,58.58338546,0.638080138,0.290429519,0.071490343
1082,Karlshamn,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,10,Blekinge län,Region Blekinge,2037,1467,2148,1371,1722,1980,1795,1672,1758,2021,2392,2035,1964,1965,2094,1698,2189,32308,14.91002328,56.18584199,0.693264826,0.238981057,0.067754117
1883,Karlskoga,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,18,Örebro län,Region Örebro län,1865,1314,2076,1414,1640,1933,1732,1488,1644,2010,2179,1841,1769,1824,2031,1607,2010,30377,14.56571116,59.37741782,0.695789578,0.23804194,0.066168483
1080,Karlskrona,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,10,Blekinge län,Region Blekinge,4368,3117,4854,3037,4321,4561,4061,3831,4141,4262,4305,3618,3719,3774,3986,2839,3845,66639,15.75600809,56.08767301,0.727441888,0.214859167,0.057698945
1780,Karlstad,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,17,Värmlands län,Region Värmland,6127,4051,5716,3771,7296,7779,6057,5408,5278,5666,6104,5224,5165,4952,5048,3618,5152,92412,13.61002156,59.4663148,0.74099684,0.203252824,0.055750335
483,Katrineholm,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,04,Södermanlands län,Region Sörmland,2597,1606,2468,1703,1895,2256,2056,1766,1801,2051,2269,2088,2076,2136,2137,1461,2141,34507,16.26718169,59.01343949,0.711623729,0.226330889,0.062045382
1715,Kil,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,17,Värmlands län,Region Värmland,883,598,853,507,514,660,690,671,682,765,792,717,742,771,862,537,711,11955,13.20157345,59.57102891,0.696946884,0.243580092,0.059473024
513,Kinda,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,05,Östergötlands län,Region Östergötland,634,420,724,425,467,526,469,488,523,608,684,632,680,734,674,552,667,9907,15.72986658,57.99912123,0.666195619,0.266478248,0.067326133
2584,Kiruna,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,25,Norrbottens län,Region Norrbotten,1562,1026,1446,1007,1370,1685,1549,1271,1145,1448,1683,1586,1369,1269,1247,957,1362,22982,20.71095236,68.16268849,0.730049604,0.210686624,0.059263772
1276,Klippan,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,12,Skåne län,Region Skåne,1139,843,1188,841,965,1096,1018,922,1079,1159,1232,1097,1031,1104,1084,760,1016,17574,13.24634731,56.11180459,0.715773301,0.226414021,0.057812678
330,Knivsta,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,03,Uppsala län,Region Uppsala,1755,1264,1829,954,874,1111,1229,1325,1555,1382,1201,923,782,809,786,434,493,18706,17.85725781,59.75411059,0.82337218,0.15027264,0.02635518
2282,Kramfors,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,22,Västernorrlands län,Region Västernorrland,1054,680,1149,816,775,1008,868,830,891,1079,1310,1262,1402,1461,1521,959,1345,18410,18.13982891,62.92425485,0.636719174,0.290222705,0.073058121
